Company,2015Q4,2016Q1,2016Q2,2016Q3,2016Q4,2017Q1,2017Q2,2017Q3
CPK INTERIOR PRODUCTS INC.,86824.71,60501.58,73280.84,51416.59,55392.87,73051.83,62382.23,63342.32
"CPS PRODUCTS, INC.",196414.15,262206.18,234600.82,203857.64,241079.89,347692.65,324141.77,330532.98
CPX  INTERACTIVE_US,650120.85,676373.79,648688.6,1052250.36,882370.04,744840.67,1026643.07,1394225.74
"CRABEL CAPITAL MANAGEMENT, LLC",117567.24,346968.59,313811.9,312895.26,394221.66,379953.91,262416.1,194212.05
"CRAFT BREWERS ALLIANCE, INC.",1702958.86,1244552.83,1555386.06,1512853.27,1436935.05,1527363.22,1189230.02,1256611.33
CRAFT3,63394.58,51919.83,64811.92,77053.03,111556.9,80269.83,83271.8,108150.82
CRAIG MANUFACTURING LTD,172899.66,179790.33,144263.39,141251.85,124937.36,121203.51,115737.94,93726.61
"CRANEMERE, INC.",220613.09,200717.85,257438.53,261914.61,289587.42,315851.05,397119.15,234381.84
CRANIAL TECHNOLOGIES,544072.06,482608.42,535606.99,493576.34,535396.45,529415.66,623084.9,584199.46
CRAWFORD HEALTHCARE USA,253412.58,243528.2,342731.65,284728.85,190806.85,215870.18,258828.17,197193.99
CRAWFORD INVESTMENT COUNSEL INC,178141.01,101848,160093.03,174086.63,148946.29,149544.57,141566.33,150858.99
"CREATIVE BREAKTHROUGHS, INC.",252156.01,331932.28,266923.13,271952.35,228130.73,157154.03,164717.69,210561.99
"CREATIVE BUS SALES, INC.",595371,563663.28,784782.97,707364.88,960390.65,1183604.93,1048911.67,749727.12
"CREATIVE CIRCLE, LLC",1583568.74,1380583.95,1381118.41,1351667.62,1329928.24,1229358.34,1146183.19,1109913.22
"CREATIVE GROUP, INC.",897522.21,789250.73,1268699.12,984778.32,1501739.09,1125000.87,1612226.53,786685.05
"CREATIVE MANAGEMENT SERVICES, LLC",3795960.75,6673413.77,4969146.97,3244723.4,6088622.29,7098569.39,6017769.7,4935256
CREATIVE PLANNING,566495.24,939190.64,640138.41,938093.15,1677130.85,1440142.73,858236.9,1157658.78
CREATIVE TECHNOLOGY SAN FRANCISCO,2259939.15,2291179.04,2195959.23,1445544.01,2508797.9,2713533.89,2266783.76,1575175.8
CREATIVELIVE INC,111644.42,91849.72,103125.34,98079.49,69653.59,77377.32,98445.03,76962.24
"CREDIT UNION EXECUTIVES SOCIETY, INC.",389257.44,1029675.11,391260.12,391139.68,438008.06,956499.31,413895.91,497600.67
CREDIT UNION NATIONAL ASSOCIATION,542785.89,477810.32,464311.33,575496.88,569437.73,605770.69,605345.73,505087.84
CREDITON DAIRY LTD,32097.48,35418.76,42319.49,41969.12,42784.65,39471.52,41407.12,33268.82
CREDITSAFE USA LTD,33218.21,37312.57,35673.65,62501.96,44348.93,32857.5,42488.65,44546.85
"CREEDEN &AMP; ASSOCIATES, INC.",167743.45,167723.42,165775.36,164647.08,157419.28,171209.84,187110.99,151739.57
CREEKRIDGE CAPITAL LLC,125235.43,115798.42,150335.22,174621.49,145597.35,169996.01,179888.22,181428.07
CREIT MANAGEMENT L.P.,228575.61,144950.12,192340.56,140648.14,203417.2,264913.71,199426.23,140690.07
CRESCENT INDUSTRIES INC,47049.48,58616.25,45388.55,51337.04,47957.2,69292.11,49549.28,59235
"CRESCENT RESOURCES, LLC",768891.5,597088.43,809867.22,655967.36,693339.89,665613.94,562904.8,467445.78
"CRESTVIEW ADVISORS, L.L.C.",412184.64,491370.01,482961.88,456937.02,425580.03,606277.28,497940.58,539097.1
CRIST | KOLDER ASSOCIATES,309255.11,191574.19,253772.96,375659.39,195012.26,211915.39,186983.52,147120.01
"CRITICAL CARE MEDFLIGHT, INC.",202569.13,600280.36,1324397.84,903401.3,763477.01,778501.29,875173.53,1923077.41
CROHNS & COLITIS FOUNDATION OF AMERICA,864139.81,572256.93,717226.34,684820.59,766121.29,652408.6,816111.03,648900.56
CRONIMET CORPORATION,98443.64,79198.67,117087.72,121933.82,131277.24,149362.45,139444.01,138880.05
CROPLIFE AMERICA INC,347396.9,160224.08,168922.19,255479.19,376629.09,246129.19,165827.43,143467.47
CROPP / COOPERATIVE REGIONS OF ORGANIC PRODUCER POOLS,1401988.41,1414018.44,1436429.17,1327767.92,1555170.77,1360241.39,1284663.78,1045871.7
CROSS CREEK ADVISORS,49307.7,22085.07,24867.57,13305.64,57645.48,16115.61,26549.05,25473.42
CROSS MATCH TECHNOLOGIES INC,582854.28,616659.43,644365.81,605824.63,718125.39,577650.39,743700.64,736262.19
CROSSLANE INVESTMENTS LIMITED,66989.94,81052.33,48299.46,21980.97,9875.33,15962.34,11227.82,13806.16
"CROSSLINK ORTHOPEDICS, LLC",661818.03,643402.48,957954.64,889140.04,798363.67,1261606,882945.11,702802.15
CROWN LABORATORIES INC,287074.6,273106.85,339372.47,306069.56,278796.8,193458.84,219664.88,199574.32
CROWN MEDIA INTERNATIONAL,881231.44,803867.61,882812.05,756134.65,1166294.53,918305.49,1034813.39,1002395.24
CRP INDUSTRIES INC.,591414.07,565024.21,549858.1,572408.03,642156.16,662309.59,477436.41,484003.42
"CRS REPROCESSING, LLC",273120.53,308098.97,283970.07,285175.28,255069.71,231788.13,192173.95,210877.04
CRTV LLC,381158.27,476943.47,562776.76,448408.01,672912.63,789449.67,531881.97,95850.52
CRUISESHIPCENTERS INTERNATIONAL INC,366394.02,338659.16,317936.47,333450.07,375552.88,503495.37,563816.36,554703.52
CRUM AND FORSTER HOLDINGS CORP,136492.99,144478.3,240507.19,136682.32,143773.32,186091.81,272563.7,189789.01
CRUZ BAY PUBLISHING,999441.16,1045848.87,974747.8,857906.18,981173.67,1105294.2,802635.47,752810.17
"CRYOLIFE, INC.",1124330.33,1126203.66,1336365.55,1336597.27,1380635.86,1391022.23,1785805.59,1598518.19
CRYOPORT INC,132453.64,99848.01,109799.68,97850.14,81628.85,94894.31,110432.37,115726.59
"CRYSTAL CRUISES, LLC",281686.59,486208.28,397273.52,504180.79,608407.21,561868.9,559804.97,930021.24
CRYSTAL GEYSER WATER COMPANY,288656.1,203974.79,197119.26,179462.37,218688.2,201781.55,206787.59,274436.24
CSA MEDICAL INC.,133798.57,113279.83,111354.94,139475.59,155583.2,97312.85,121234.13,113283.32
CSG SOLUTIONS,111179.14,127335.1,198622.08,240537.98,273829.61,262997.24,359372.24,373599.25
CSI LEASING,340798.81,411490.58,376054.58,395201.78,385325.89,383462.36,464116.08,410504.3
CSIDENTITY CORPORATION,153073.45,257684.29,201323.4,254421.09,222257.59,361873.65,370374.05,71728.41
CSIG HOLDING COMPANY LLC,362092.24,422015.11,526682.63,435750.25,541324.07,497866.39,609972.01,509174.62
"CSSN, INC.",195982.06,204750.49,238268.96,200037.18,242518.98,225435.16,211615.21,176988.04
CT GLOBAL SOLUTIONS INC.,47796.42,32781.61,59877.18,53861.38,50557.18,56149.25,90587.76,106252.63
"CTC, INC.",79299.9,76253.36,95464.57,101005.99,111660.19,86468.11,88362.19,82386.1
CTI BIOPHARMA CORP.,1157165.93,716474.02,543095.45,350939.77,293564.11,192448.7,149142.64,111649.51
CTI CLINICAL TRIAL SERVICES,1138841.29,933139.91,1034271.79,828160.17,965759.86,969370.93,972797.47,1050929.5
CTS CEMENT MANUFACTURING,428705.32,555022.91,347543.86,404934.96,452142.21,485585.62,510069.51,482964.97
"CU COOPERATIVE SYSTEMS, INC.",874540.06,665643.22,856515.48,907334.26,1014880.67,885624.31,1304999.19,1456358.75
CU DIRECT,834664.86,783127.29,986383.1,786019.03,920600.8,798408.82,1034841.48,747744.21
CUCAMONGA VALLEY WATER DISTRICT,45763.85,27066.04,51948.53,20788.86,33287.95,36636.29,60249.35,35429.77
"CUISINE SOLUTIONS, INC.",123207.12,139089.86,148788.57,131103.1,146643.19,166204.18,159236.89,149363.28
"CULBERSON CONSTRUCTION, INC.",348887.47,604017.32,418172.56,397721.92,350757.11,150470.6,435432.82,934042.99
"CULTURAL EXPERIENCES ABROAD, LLC",100671.14,103387.01,81374.34,86820.98,102973.31,104474.3,87619.07,88386.19
"CULTURAL VISTAS, INC.",454207.99,501344.44,842213.64,729393.05,561148.13,599001.4,1024425.65,759787.88
"CULVER FRANCHISING SYSTEM, INC.",306715.38,237409.26,306414.8,312660.17,327623.71,382857.9,383655.88,378555.09
CUMBERLAND PHARMACEUTICALS INC.,495548.83,430732.01,489438.6,489573.61,466707.33,454051.72,490969.85,490540.67
"CUMMINS POWER SOUTH, LLC",383425.53,296923.36,352822.25,380502.04,492596.36,524286.42,665302.08,604590.95
"CURO HEALTH SERVICES, LLC.",1144377.61,1135893.66,1558652.76,1538142.58,1534456.7,1400989.22,1612333.28,1706227.57
CURRENCY EXCHANGE INTERNATIONAL,227862.91,261503.84,256975.56,254347.09,311212.43,293682.23,303687.22,285936.71
CURRICULUM ADVANTAGE,243267.19,169482.65,137312.38,187691.27,155489.25,150016.86,108720.54,132648.6
CURRIE & BROWN,117201.36,68521.05,120625.98,131539.62,118813.17,174275.9,183117.59,168674.2
"CURTIS-TOLEDO, INC.",63671.91,52164.97,43880.12,56809.82,44077.24,53596.98,59621.58,38747.23
"CUSO FINANCIAL SERVICES, L.P.",130487.19,114344.64,167310.55,155957.11,153167.41,149043.66,167146.95,156191.58
CUSTOMER ENGINEERING SERV,1305841.3,872441.8,1105678.48,1266639.37,1319607.05,1313180.13,1614017.9,1651762.6
"CUTISPHARMA, INC.",53448.14,150971.97,70998.8,96199.64,164334.75,99213.5,119790.25,151619.23
CUTTING EDGE LASER TECHNOLOGIES,184705.84,296819.36,245803.6,305380.33,269996.15,303338.56,233869.65,277999.28
"CVC CAPITAL PARTNERS ADVISORY (US), INC.",580923.38,941563.7,675867.56,980315.25,1001497.83,775051.11,844573.99,935264.64
CVC CAPITAL PARTNERS LIMITED,1105673.77,604523.38,891209.01,817599.52,1092947.01,753743.11,972538.82,1473345.45
"CVC CREDIT PARTNERS, LLC",204204.65,87917.36,228697.11,196381.44,215661.11,191899.74,360682.85,231646.05
"CVRX, INC.",259843.57,275119.8,287896.85,275585.16,368804.49,390044.69,420676.05,423768.89
CW FINANCIAL SERVICES LLC,354876.98,309891.64,272831.57,198002.41,199608.54,164260.08,211537.15,142225.82
CWB GROUP,685113.47,714187.83,817233.48,616352.28,653496.85,710911.13,803131.6,715857.73
CYAGEN BIOSCIENCES INC.,10491.44,4450.97,2990.87,11433.25,6740.1,4632.44,9114.65,15401.88
CYANCO INTERMEDIATE CORPORATION,139138.87,206621.95,170226.59,101224.64,199683.28,264553.07,318724.22,266537.04
CYBER ADAPT,64729.83,104146.42,123066.87,132536.13,176449.5,110730.86,155472.2,148361.05
"CYBERSHEATH SERVICES INTERNATIONAL, LLC.",163133.64,92148.34,92255.59,140226.54,238848.07,90846.66,129189,191541.92
"CYBERTHINK, INC",84340.22,78395.37,59594.18,61776.91,62120.86,46174.02,95194.05,63088.97
CYNOSURE INC,2227299.98,2361499.41,2736693.55,2963093.6,3774731.42,3703735.24,3812758.04,3058327.48
CYNOSURE PTY LTD,21931.67,15673.92,21051.36,25730.64,33939.94,24650.77,24794.16,29114.23
"CYTORI THERAPEUTICS, INC",36904.83,66994.83,45590.61,54762.15,27420.41,38881.24,25110.36,29520.24
"CYTOZYME LABORATORIES, INC.",39929.42,46103.1,68487.84,92455.25,79347.03,111013.64,140872.87,108371.12
CZARNIKOW GROUP LIMITED,91088.91,214141.07,150696.43,151194.45,192162.32,202299.83,147950.03,155233.95
CZM USA CORP.,125391.28,154413.83,274435.14,235426.35,272031.08,173053.52,272060.94,186408.54
D LINK,158423.13,135644.05,122812.05,100393.53,124239.97,91244.61,143684.56,94515.16
D P TECHNOLOGY CORP,631185.09,674580.06,537340.96,714319.08,724541.14,721648.62,726284.73,924443.2
D.H. PACE COMPANY INC.,1000188.18,1248079.72,1351556.37,1198213.51,1374891.57,1898215.55,2024468.52,1950410.12
D4D TECHNOLOGIES,322172.78,179844.41,100071.88,139238.89,143768.91,78377.24,245623.3,309641.39
DAC GROUP,406285.88,494304.17,459321.88,440754.34,434907.61,424334.16,385729.16,428682.39
"DAHLHEIMER BEVERAGE, LLC",33502.37,41191.36,56600.93,29458.34,21439.26,33379.31,42978.97,24867.84
DAIFUKU AMERICA CORPORATION,295893.59,330121.76,367797.92,378116.61,329049.35,348745.76,381982.84,516768.34
"DAIGGER SCIENTIFIC, INC.",44421.46,40947.26,39507.87,52744.65,28180.7,36050.84,38122.62,28635.68
DAIICHI SANKYO UK LTD,459706.72,370143.34,257917.59,206940.13,162229.98,283994.22,269089.62,321902.06
"DAIRYLAND SEED CO., INC.",114958.08,124361.42,120211.1,265826.44,127055.35,121285.09,118745.93,252223.84
DAIWA CAPITAL MARKETS AMERICA INC.,1142574.5,810949.34,1260731.75,930402.44,947328.4,661265.59,942675.9,813851.9
"DALLAS CONVENTION & VISITORS BUREAU, INC",330093.74,295660.86,470690.86,402630.27,324468.7,384459.94,511454.53,415240.83
DALLAS WOMEN'S FOUNDATION,36443.83,33079.43,33605.05,26302.41,40549.43,32496.46,35571.86,29833.89
DALYN,94397.44,99428.32,95122.25,107139.4,102288.05,121611.18,113462.2,132163.08
DANA INNOVATIONS,569964.54,555328.73,591356.02,531636.43,636720.88,533861.28,502843.75,567880.94
DANIELS FUND,112635.11,66255.68,88315.66,67831.59,100751.32,66867.86,89665.33,70795.23
DANIELS SHARPSMART CANADA,39493.37,34292.74,25634.47,24424.95,27782.95,22725.73,25640.64,20991.95
DANZER VENEER AMERICAS,149289.75,143157.67,135324.61,153185.28,173116.08,130832.79,135213.97,151907.92
DAP,445857.52,401171.72,496085.99,563347.17,472002.93,504935.92,501422.57,559473.46
DARLEY AUSTRALIA PTY LTD,61036,52556.59,61498.19,44652.74,48131.48,60623.77,59531.99,30764.41
DARSANA CAPITAL PARTNERS LP,87914.7,75364.31,99968.03,76547.29,98335.98,63800.13,99594.51,73446.62
"DAS COMPANIES, INC.",990348.95,973174.78,882358.94,935531.1,1058478.33,1007711,1013163.4,1067626.62
DAS SERVICES LIMITED,152010.05,124606.46,144435.86,158106.21,238943.01,100944.07,81705.03,74789.77
"DASHER TECHNOLOGIES, INC",228324.62,439509.15,139680.86,262359.12,306192.42,368228.83,332338.84,204270.45
DATA #3 LIMITED,249420.44,252085.71,313271.4,307502.91,319957.16,268631.69,361516.33,275755.96
DATA CENTER SYSTEMS,155508.78,138553.23,93185.77,188856.38,139405.5,173936.88,158352.98,246790.2
"DATA CENTER, INC",241048.74,211835.93,258510.86,216274.97,278985.42,231314.78,324939.23,293947.5
DATA EXCHANGE CORPORATION,65167.44,53298.86,35398.79,31388.77,44715.62,33029.81,36830.62,47186.96
"DATA INTENSITY, LLC",288498.2,407277.28,289035.73,364771.28,491590.53,347700.82,526090.58,434044.04
DATA PROCESSING AIR CORP,240795.92,211145.19,185039.36,297594.58,250575.48,234009.43,221223.26,213234.59
DATA SYSTEMS INTERNATIONAL INC,1042618.31,822768.22,894452.11,988568.71,1112718.89,1125561.16,1408063.76,1182058.33
DATACORE,630190.61,555214.29,624945.61,711991.57,773630.28,722894.41,837845.49,674302.27
DATAPIPE INC.,1023943.16,1186290.11,1181724.1,1184521.91,1417344.98,1213521.15,862268.56,879644.42
"DATASCAN FIELD SERVICES, LLC",633072.53,516037.76,600586.31,599583.37,698533.36,556712.53,587926.25,651362.53
DATASCAN LP,252737.3,219862.52,259900.51,242955.22,265512.85,225742.11,389209.36,305954.38
DATASCOPE PATIENT MONITORING,1544672.65,1542788.83,1975223.46,1917582.13,2100124.74,1873137.74,2322452.34,2264407.88
DATASOURCE,491353.94,492024.35,456069.69,426556.18,516247.5,510177.74,543487.96,335717.9
"DATATRAK INTERNATIONAL, INC.",19547.68,25645.52,14335.69,22664.42,11266.45,28792.34,14175.36,19756.98
"DATATRONICS ROMOLAND, INC.",8618.04,13942.33,15079.41,15782.04,10567.28,7873.36,20090.35,17452
DATAVAIL,295603.93,221638.03,354432.28,293547.62,364865.44,399135.28,520909.78,591580.87
DATAVOX INC,136698.58,118847.75,124293.03,120023.34,156566.62,187682.23,225136.16,66326.7
DATAWATCH CORPORATION,303789.33,218878.64,232635.55,222389.21,210028.7,165310.13,211396.79,207502.44
DATAXU,384472.38,282868.14,421527.82,404135.98,576439.73,363038.28,277861.54,314963.24
"DATTO, INC",1053462.21,887585.51,1197442.63,1204877.2,1054250.31,930681.68,1135829.26,1498959.68
DAUBY OCONNOR &AMP; ZALESKI LLC,413083.8,153610.92,181605.62,258577.9,421621.08,173015.92,228213.28,341456.28
DAVENPORT & COMPANY LLC,359324.58,143297.29,206131.7,217468.23,392595.36,189818.94,257711.53,182639.29
DAVEX LABS LLC,141036.92,144775.13,162390.81,143422.94,155280.21,125776.93,165944.36,164139.02
DAVID BROWN GEAR INDUSTRIES LIMITED,116214.56,105675.65,109932.39,59421.42,53610.36,46014.85,58021.03,92576.85
"DAVID MICHAEL & CO., INC.",243384.4,157756.1,181778.54,199904.87,164807.59,128814.49,128580.12,139334.8
DAVID SUTHERLAND INC,211782.77,193601.9,179664.96,164530.61,212580.7,249183.06,223314.05,138285.54
"DAVIDOFF OF GENEVA (USA), INC",574365.24,550040.34,654729.72,663321.52,409810.83,480523.9,447877.8,680661.04
DAVIDSON KEMPNER CAPITAL MANAGEMENT LP,1698685.46,1406781.51,1197803.79,1415288.62,1886366.27,1331094.01,1653256.51,1576466.35
DAWSON LOGISTICS INC_US,215774.75,245704.72,251975.32,205872.35,214723.01,172314.79,246780.32,113550.58
"DAXKO, LLC",445761.94,545994.36,626792.15,590041.26,643206.15,897028.6,835183.7,1230614.76
DAYMAR LEARNING INC.,82009.27,54041.42,66779,60672.92,54974.99,58336.27,59055.84,55934.26
DAYMEN US,303652.44,196832.46,196580.02,218454.06,226212.39,217453.53,207410.15,170655.42
DAYTON ROGERS,86946.98,102289.97,137603.94,163148.11,169887.22,160372.65,193791.63,141381.98
"DC ENERGY MANAGEMENT, LP",119731.22,39598.2,59729.09,56897.9,120426.25,72636.51,65514.67,49710.94
"DCI - DESIGN COMMUNICATIONS, INC.",202510.96,261165.26,270111.38,229322.89,208377.35,164918.69,297905.59,320560.71
"DCI DONOR SERVICES, INC.",328619.46,331494.44,394517.74,398562.42,298268.86,318920.04,289824.77,266876.92
"DCI MARKETING, INC.",607565.47,654538.38,783421.69,507076.44,548404.92,385915.64,450727.87,409943.06
"DD TRADERS, INC DBA DEMDACO",643723.86,494390.45,252584.44,330526.23,387690.35,392660.18,307245.67,287254.21
DDJ CAPITAL MANAGEMENT,41198.54,26054.67,28090.87,17143.96,19480.31,7245.29,52938.27,47572.51
DDR CORP,1479101.47,980287.32,983865.16,828952.47,1188307.33,828257.59,914058.26,632829.13
"DE NORA TECH, INC.",455629.89,352873.79,373125.19,375302.81,484921.17,433290.17,433498.9,418558.92
"DEALERDIRECT, LLC D/B/A FORDDIRECT",575398.16,473246.31,520282.84,646822.14,668855.59,634695.59,607659.42,610785.47
"DEALERON, INC.",90786.36,88228.42,79405.66,91611.48,91730.92,79186.94,81570.62,113581.63
"DEALERSOCKET, INC.",2789620.82,2365258.31,2652512.55,1981327.01,2109943.49,1590149.11,1693112.41,1841604.19
DEALOGIC LIMITED,727415.98,523943.26,695711.62,619131.7,823899.22,694240.28,747536.73,757131.71
"DEAN AND COMPANY STRATEGY CONSULTANTS, LLC",152779.94,100935.96,86904.52,93997.97,352878.92,198131.08,167811.83,122042.92
DEAN BRADLEY OSBORNE LLC,146273.69,124439.61,142238.27,205863.24,135614.64,112185.51,62272.38,73549.27
"DEBORAH WOOD ASSOCIATES, INC. (DWA HEALTHCARE COMMUNICATIONS GROUP)",1398052.91,1136554.4,1252838.47,648606.77,811018.52,486196.92,708645.61,415211.26
DECISION SCIENCES INTERNATIONAL CORPORATION,49254.56,32809.52,93180.58,60640.43,95639.46,75738.7,110259.46,84648.62
DECISIVE DATA,55167.01,58232.75,46724.45,58604.92,107161.7,62401.64,82618.88,71041.52
"DECKER COMMUNICATIONS, INC",206593.35,115307.6,139299.77,137354.02,176829.76,95319.22,136375.73,132627.9
DECTON STAFFING SERVICES,538150.24,267982.12,705836.84,859106.1,667237.84,699453.6,432341.79,96559.97
DEEP BLUE COMMUNICATIONS LLC,292777.05,217987.75,289441.74,191142.24,232880.07,197770.68,240518.1,164519.15
DEEP EDDY VODKA,395307.57,359742.79,689317.94,739818.17,792410.51,766695.65,917893.02,788674.49
DEER MANAGEMENT CO. LLC,437245.69,281956.73,323635.65,368941.26,377809.83,270514.73,245811.29,275979.49
"DEERFIELD MANAGEMENT COMPANY, L.P.",903738.2,661407.14,810038.82,627601.91,823074.38,894323.5,933959.49,413696.95
DEFENCE BANK LIMITED,84551.32,66824.38,96595.15,77112.47,84993.23,70726.03,79437.93,67389.09
"DEFY MEDIA, LLC",1312973.2,1740387.97,1985117.19,1490703.42,1067859.73,927628.24,1029397.05,1106060.53
"DEI HEADQUARTERS, INC.",288760.11,279080.36,314226.74,464039.59,449332.99,412637.56,674659.03,657654.97
"DEI SALES, INC",397845.95,258618.87,368521.79,352817.29,356159.26,242244.38,300069.5,273714.23
"DEKRA AMERICA, INC.",701871.19,721094.23,741928.57,734614.25,673593.82,636666.36,1066373.83,1311409.03
DELOS LIVING LLC,711486.15,594436.67,312713.7,408894.97,605003.67,571892.31,839999.14,782680.11
DELTA DATA SOFTWARE INC,30483.75,61869.12,58009.13,94872.31,79511.45,79207.92,79535.62,80254.24
DELTA DENTAL OF MISSOURI,193427.13,138375.53,209870.54,166077.86,224040.24,176737.64,247898.84,190479.13
DELTA PRIVATE JETS INC,1802651.95,2279495.64,2038066.78,1897514.4,1753092.57,1758939.1,1781952.83,1859085.17
DELTA RISK,178819.39,221382.16,133733.32,136885.64,145147.52,125771.01,79104.01,104507.85
DELTA T CORPORATION DBA BIG ASS SOLUTIONS,239522.97,1351936.49,842127.85,1225264.86,742908.03,2973372.77,588859.62,244509
DEMICA LTD,75374.41,58575.06,55356.42,40402.38,49005.72,27799.1,35153.37,36357.69
DEMME LEARNING,155442.78,107465.52,168122.31,174622.8,137983.82,201145.88,219723.64,188775.84
"DENALI FLAVORS, INC.",88682.01,84882.41,97302.99,79722.1,99903.8,102409.04,129684.51,87930.74
DEN-MAT HOLDINGS LLC,295858.04,262663.34,301451.95,283112.1,290130.68,225931.58,211484.92,186131.62
"DENSO PRODUCTS AND SERVICES AMERICAS, INC",764272.7,608576.18,714967.69,676894.3,760085.96,878339.26,902262.19,983766.61
"DEN-TAL-EZ, INC.",262888.86,223115.89,282554.09,302472.37,328600.33,270009.6,286749.31,252469.75
"DENTON COUNTY ELECTRIC COOPERATIVE, INC., DBA COSERV ELECTRIC",21481.39,27010.9,23799.99,41667.76,25736.08,52387.92,47859.6,48266
"DENTZONE COMPANIES, INC.",396358.47,355389.42,382906.94,374084.66,488778.24,452315.45,442225.4,432123.17
DENVER INVESTMENT ADVISORS LLC,140084.24,91822.22,77123.32,109101.74,117306.51,103360.55,140234.92,106191.52
